user_id,segment,trade_frequency_per_week,portfolio_value_usd,risk_score,avg_holding_days,volatility_exposure
U00045,Prudent,3,935.08,0.124,122.4,0.097
U00046,Équilibré,6,1442.59,0.375,26.7,0.139
U00047,Prudent,2,769.94,0.081,216.3,0.023
U00048,Équilibré,9,2409.62,0.585,42.9,0.291
U00049,Équilibré,6,1774.92,0.396,88.6,0.329
U00050,Prudent,1,492.68,0.161,258.4,0.023
U00051,Aventurier,39,3007.85,0.984,3.4,0.433
U00052,Équilibré,13,1676.43,0.437,20.5,0.202
U00053,Aventurier,41,5518.48,0.801,9.9,0.452
U00054,Aventurier,48,2839.71,0.793,5.9,0.841
U00055,Équilibré,15,1551.25,0.26,78.6,0.133
U00056,Aventurier,32,3895.74,0.927,3.7,0.413
U00057,Prudent,0,948.84,0.176,106.5,0.068
U00058,Prudent,2,834.49,0.1,201.1,0.039
U00059,Prudent,3,850.01,0.171,226.0,0.025
U00060,Prudent,3,719.54,0.052,184.5,0.052
U00061,Équilibré,9,1163.43,0.424,61.5,0.242
U00062,Prudent,2,615.9,0.163,183.6,0.049
U00063,Aventurier,56,3152.01,0.647,14.9,0.878
U00064,Équilibré,12,1743.05,0.299,61.7,0.139
U00065,Prudent,1,656.5,0.071,222.0,0.071
U00066,Équilibré,8,1916.72,0.56,23.7,0.279
U00067,Prudent,1,1014.18,0.129,104.4,0.085
U00068,Aventurier,39,4364.04,0.91,8.0,0.9
U00069,Prudent,3,1065.4,0.164,190.0,0.073
U00070,Aventurier,23,4068.94,0.65,7.0,0.829
U00071,Équilibré,8,1581.84,0.325,43.8,0.297
U00072,Prudent,2,870.27,0.072,130.0,0.089
U00073,Prudent,8,1159.05,0.165,241.3,0.076
U00074,Aventurier,30,5596.16,0.956,9.3,0.531
U00075,Équilibré,14,851.35,0.555,71.0,0.215
U00076,Équilibré,12,1415.02,0.397,39.1,0.115
U00077,Équilibré,13,934.59,0.409,42.0,0.307
U00078,Prudent,5,702.54,0.101,279.6,0.034
U00079,Équilibré,11,1352.15,0.464,73.7,0.147
U00080,Prudent,4,833.81,0.134,232.0,0.091
U00081,Aventurier,52,5435.81,0.601,6.1,0.849
U00082,Équilibré,12,2470.12,0.286,37.2,0.239
U00083,Prudent,1,885.88,0.109,133.9,0.034
U00084,Prudent,4,608.15,0.086,242.7,0.072
U00085,Prudent,2,1141.3,0.189,281.9,0.096
U00086,Prudent,2,989.15,0.123,107.9,0.038
U00087,Équilibré,9,3115.08,0.377,62.2,0.304
U00088,Équilibré,10,1903.84,0.351,23.8,0.163
U00089,Aventurier,48,2818.93,0.68,11.7,0.53
U00090,Équilibré,8,2117.63,0.477,69.1,0.322
U00091,Prudent,5,808.1,0.092,279.8,0.046
U00092,Équilibré,13,892.53,0.517,35.5,0.291
U00093,Équilibré,6,1843.66,0.537,72.9,0.113
U00094,Équilibré,10,1195.36,0.478,24.1,0.181
U00095,Équilibré,10,2436.0,0.321,58.5,0.303
U00096,Équilibré,9,2657.99,0.495,25.0,0.308
U00097,Équilibré,16,2985.99,0.55,35.6,0.107
U00098,Équilibré,9,1150.59,0.427,57.1,0.273
U00099,Prudent,1,1194.89,0.178,245.7,0.062
U00100,Prudent,5,962.43,0.075,166.4,0.022
U00101,Prudent,3,1136.58,0.223,293.5,0.091
U00102,Équilibré,10,2177.06,0.334,24.5,0.114
U00103,Prudent,1,793.14,0.212,288.0,0.1
U00104,Équilibré,16,2515.17,0.405,61.9,0.304
U00105,Aventurier,44,6751.78,0.924,7.1,0.806
U00106,Prudent,0,734.53,0.146,196.5,0.075
U00107,Équilibré,5,1621.67,0.364,74.4,0.204
U00108,Équilibré,14,2164.0,0.516,56.8,0.334
U00109,Prudent,1,651.41,0.156,162.7,0.041
U00110,Prudent,2,998.51,0.099,148.6,0.083
U00111,Prudent,3,661.09,0.074,127.3,0.048
U00112,Prudent,1,764.89,0.088,135.1,0.04
U00113,Aventurier,33,3568.11,0.905,12.5,0.717
U00114,Aventurier,44,3847.92,0.86,14.0,0.452
U00115,Équilibré,8,1688.58,0.567,48.8,0.211
U00116,Aventurier,39,5333.52,0.906,5.9,0.697
U00117,Aventurier,34,4973.26,0.958,7.8,0.364
U00118,Prudent,1,823.54,0.146,104.0,0.048
U00119,Aventurier,43,3806.55,0.859,6.2,0.371
U00120,Équilibré,12,2171.86,0.436,49.1,0.235
U00121,Aventurier,45,4554.21,0.844,1.2,0.69
U00122,Aventurier,42,3912.8,0.771,10.1,0.737
U00123,Prudent,2,1094.97,0.111,136.8,0.036
U00124,Prudent,2,1132.58,0.103,143.6,0.077
U00125,Prudent,1,505.46,0.13,250.8,0.021
U00126,Équilibré,15,1229.78,0.599,76.4,0.214
U00127,Aventurier,45,6408.46,0.859,1.9,0.689
U00128,Aventurier,44,5876.27,0.991,3.0,0.851
U00129,Prudent,4,760.36,0.143,287.6,0.042
U00130,Équilibré,9,1854.34,0.454,63.5,0.209
U00131,Équilibré,17,1544.17,0.559,49.6,0.339
U00132,Prudent,2,593.86,0.137,240.1,0.089
U00133,Prudent,1,837.37,0.072,192.8,0.076
U00134,Prudent,3,992.71,0.092,202.5,0.038
U00135,Aventurier,34,1935.51,0.653,14.6,0.585
U00136,Prudent,1,757.23,0.152,219.2,0.053
U00137,Équilibré,9,1997.45,0.252,64.3,0.216
U00138,Équilibré,10,1305.59,0.51,71.1,0.111
U00139,Équilibré,4,1779.24,0.493,55.2,0.345
U00140,Aventurier,52,5698.53,0.754,7.0,0.407
U00141,Aventurier,38,1312.9,0.799,12.8,0.589
U00142,Prudent,3,802.61,0.052,222.1,0.066
U00143,Équilibré,10,1517.58,0.443,67.6,0.152
U00144,Prudent,2,976.59,0.223,286.0,0.083
U00145,Prudent,2,545.26,0.138,285.5,0.084
U00146,Prudent,3,828.29,0.058,227.6,0.049
U00147,Équilibré,11,1865.25,0.354,68.1,0.171
U00148,Équilibré,8,1538.68,0.521,69.2,0.187
U00149,Prudent,6,998.76,0.099,145.0,0.071
U00150,Prudent,1,769.14,0.14,197.8,0.042
U00151,Aventurier,41,5277.87,0.95,9.3,0.391
U00152,Prudent,5,603.91,0.211,229.3,0.038
U00153,Prudent,2,736.42,0.227,276.9,0.057
U00154,Équilibré,12,1761.8,0.426,50.7,0.264
U00155,Aventurier,39,3244.08,0.967,1.2,0.505
U00156,Prudent,2,784.56,0.142,151.1,0.027
U00157,Équilibré,6,2433.14,0.347,66.8,0.272
U00158,Équilibré,9,2184.12,0.44,24.4,0.183
U00159,Prudent,3,635.63,0.216,297.0,0.063
U00160,Équilibré,11,1332.67,0.467,20.9,0.264
U00161,Équilibré,12,2866.68,0.474,28.1,0.325
U00162,Équilibré,11,2136.31,0.37,84.3,0.226
U00163,Équilibré,15,2975.19,0.282,33.3,0.234
U00164,Équilibré,18,589.57,0.569,82.9,0.314
U00165,Prudent,2,806.31,0.066,154.8,0.057
U00166,Aventurier,55,4492.06,0.878,2.2,0.833
U00167,Prudent,4,712.63,0.063,188.1,0.072
U00168,Prudent,1,663.0,0.142,206.7,0.035
U00169,Prudent,2,579.47,0.23,287.0,0.073
U00170,Équilibré,8,1961.62,0.461,47.4,0.172
U00171,Équilibré,6,2281.11,0.385,28.5,0.103
U00172,Prudent,1,863.6,0.115,148.3,0.073
U00173,Équilibré,12,1370.33,0.446,25.4,0.112
U00174,Prudent,1,913.06,0.111,167.8,0.082
U00175,Équilibré,8,1387.65,0.532,78.2,0.347
U00176,Prudent,2,926.96,0.062,108.0,0.047
U00177,Équilibré,12,981.66,0.478,52.0,0.129
U00178,Équilibré,7,2281.24,0.308,52.8,0.339
U00179,Aventurier,43,3547.24,0.695,14.0,0.734
U00180,Prudent,6,874.59,0.215,254.4,0.049
U00181,Prudent,2,635.43,0.227,166.3,0.064
U00182,Prudent,2,633.69,0.24,240.9,0.034
U00183,Aventurier,47,6272.63,0.756,2.0,0.425
U00184,Aventurier,42,2763.87,0.602,11.7,0.579
U00185,Prudent,2,805.23,0.246,154.5,0.075
U00186,Équilibré,6,1671.6,0.277,81.7,0.178
U00187,Aventurier,35,2559.11,0.641,14.5,0.486
U00188,Équilibré,11,1364.47,0.43,38.3,0.259
U00189,Équilibré,11,1749.67,0.318,41.5,0.317
U00190,Prudent,3,974.55,0.185,149.7,0.073
U00191,Prudent,2,735.43,0.126,129.7,0.088
U00192,Aventurier,51,3260.8,0.641,5.8,0.88
U00193,Aventurier,32,1950.41,0.863,2.5,0.638
U00194,Équilibré,9,2523.3,0.549,88.1,0.288
U00195,Prudent,2,619.7,0.099,241.5,0.073
U00196,Prudent,3,885.52,0.186,154.4,0.098
U00197,Équilibré,8,1908.02,0.534,52.0,0.33
U00198,Aventurier,45,4026.08,0.614,8.6,0.812
U00199,Aventurier,34,5858.86,0.734,10.7,0.675
U00200,Équilibré,11,2440.98,0.461,31.7,0.319
U00201,Équilibré,7,2104.58,0.563,20.7,0.345
U00202,Prudent,0,595.93,0.052,271.5,0.077
U00203,Prudent,0,836.4,0.072,272.1,0.058
U00204,Aventurier,36,4194.61,0.895,9.7,0.844
U00205,Équilibré,14,1620.17,0.401,88.1,0.29
U00206,Prudent,2,980.21,0.073,277.6,0.086
U00207,Prudent,2,736.69,0.054,296.4,0.089
U00208,Équilibré,11,2295.86,0.33,51.6,0.257
U00209,Prudent,5,984.25,0.115,126.6,0.03
U00210,Prudent,4,1090.87,0.203,194.1,0.037
U00211,Équilibré,5,2582.59,0.55,74.3,0.176
U00212,Équilibré,10,1585.32,0.303,61.6,0.28
U00213,Équilibré,14,2091.81,0.495,71.1,0.163
U00214,Prudent,0,402.26,0.189,281.8,0.084
U00215,Équilibré,9,715.78,0.266,45.4,0.101
U00216,Prudent,2,1075.84,0.159,137.3,0.083
U00217,Prudent,1,867.52,0.24,100.1,0.057
U00218,Équilibré,5,2061.2,0.535,22.9,0.174
U00219,Équilibré,8,2189.18,0.532,51.7,0.319
U00220,Aventurier,35,5243.8,0.697,1.6,0.506
U00221,Équilibré,10,1001.38,0.597,38.9,0.346
U00222,Équilibré,16,1822.04,0.282,68.7,0.311
U00223,Prudent,1,841.25,0.09,289.9,0.096
U00224,Équilibré,9,2631.27,0.471,42.2,0.117
U00225,Prudent,4,633.41,0.061,217.8,0.084
U00226,Prudent,2,744.52,0.197,172.2,0.025
U00227,Aventurier,33,2434.06,0.923,13.7,0.487
U00228,Équilibré,10,1737.12,0.595,24.6,0.267
U00229,Aventurier,37,2691.73,0.697,2.0,0.503
U00230,Équilibré,12,1530.74,0.444,20.0,0.131
U00231,Équilibré,14,2659.84,0.548,48.4,0.284
U00232,Équilibré,12,2643.66,0.352,85.8,0.156
U00233,Équilibré,10,1613.94,0.556,56.1,0.263
U00234,Équilibré,9,717.91,0.482,26.3,0.219
U00235,Prudent,3,798.75,0.072,236.3,0.092
U00236,Équilibré,15,1409.85,0.437,89.6,0.245
U00237,Prudent,3,1019.88,0.217,220.7,0.033
U00238,Prudent,0,762.99,0.241,184.3,0.072
U00239,Équilibré,11,1306.72,0.469,21.6,0.306
U00240,Prudent,4,1057.28,0.111,191.5,0.08
U00241,Aventurier,41,3614.37,0.855,10.0,0.546
U00242,Aventurier,35,2281.78,0.616,3.6,0.8
U00243,Aventurier,31,1988.44,0.644,14.1,0.851
U00244,Équilibré,13,1487.97,0.363,66.6,0.173
U00245,Prudent,3,1037.1,0.198,239.2,0.05
U00246,Aventurier,44,2526.15,0.919,9.5,0.833
U00247,Équilibré,12,1406.63,0.42,24.0,0.212
U00248,Aventurier,44,3903.61,0.601,6.2,0.387
U00249,Aventurier,46,4040.33,0.918,7.3,0.651
U00250,Aventurier,36,2304.54,0.81,3.7,0.728
U00251,Prudent,1,717.78,0.217,111.5,0.03
U00252,Équilibré,8,1321.08,0.517,84.5,0.203
U00253,Aventurier,31,4899.95,0.875,3.9,0.811
U00254,Prudent,3,661.19,0.071,180.0,0.054
U00255,Prudent,3,615.48,0.184,245.2,0.097
U00256,Équilibré,12,1251.23,0.533,85.5,0.198
U00257,Aventurier,36,4823.86,0.915,8.9,0.856
U00258,Équilibré,6,2151.52,0.357,20.6,0.193
U00259,Équilibré,9,1368.85,0.296,34.2,0.129
U00260,Prudent,1,719.43,0.101,168.6,0.024
U00261,Équilibré,15,1071.54,0.52,53.8,0.196
U00262,Aventurier,44,1213.25,0.631,5.4,0.888
U00263,Prudent,2,790.09,0.071,187.8,0.055
U00264,Équilibré,10,1827.48,0.496,47.4,0.262
U00265,Aventurier,37,112.54,0.815,6.4,0.793
U00266,Équilibré,10,1467.14,0.328,27.8,0.195
U00267,Équilibré,7,2032.45,0.449,54.8,0.297
U00268,Équilibré,6,1615.29,0.419,29.6,0.305
U00269,Équilibré,10,1683.7,0.512,36.3,0.308
U00270,Prudent,3,983.3,0.241,172.7,0.032
U00271,Aventurier,50,3980.87,0.95,10.2,0.797
U00272,Aventurier,33,4306.86,0.812,11.0,0.744
U00273,Aventurier,37,4026.21,0.754,9.6,0.824
U00274,Aventurier,50,5138.55,0.649,1.1,0.621
U00275,Équilibré,9,1171.61,0.323,47.6,0.102
U00276,Équilibré,14,2659.82,0.468,42.7,0.254
U00277,Équilibré,10,1291.01,0.418,70.4,0.237
U00278,Équilibré,12,1963.4,0.267,23.9,0.167
U00279,Équilibré,9,2181.78,0.493,52.4,0.166
U00280,Équilibré,9,2089.66,0.469,77.3,0.23
U00281,Aventurier,36,2973.31,0.623,14.3,0.712
U00282,Prudent,1,1053.07,0.177,145.3,0.027
U00283,Équilibré,8,1511.77,0.578,60.3,0.206
U00284,Prudent,1,669.79,0.229,206.5,0.056
U00285,Équilibré,16,2100.78,0.548,86.8,0.124
U00286,Prudent,3,762.63,0.078,115.9,0.054
U00287,Équilibré,7,2813.69,0.464,32.5,0.258
U00288,Équilibré,12,1874.38,0.362,46.8,0.251
U00289,Prudent,0,641.25,0.188,286.6,0.09
U00290,Équilibré,12,2553.09,0.506,64.5,0.293
U00291,Prudent,3,857.61,0.137,220.1,0.081
U00292,Prudent,6,371.08,0.197,237.4,0.074
U00293,Aventurier,44,4029.91,0.841,5.1,0.893
U00294,Équilibré,13,910.79,0.375,70.3,0.103
U00295,Prudent,3,970.12,0.233,210.5,0.033
U00296,Équilibré,13,1565.1,0.435,23.2,0.225
U00297,Équilibré,9,1870.01,0.52,20.9,0.287
U00298,Prudent,0,714.23,0.19,191.1,0.064
U00299,Équilibré,8,1914.08,0.548,80.9,0.249
U00300,Prudent,0,808.7,0.233,123.6,0.061
U00301,Prudent,2,636.46,0.052,175.4,0.027
U00302,Équilibré,10,961.24,0.345,80.6,0.153
U00303,Équilibré,4,1992.44,0.455,20.0,0.218
U00304,Équilibré,8,2522.99,0.46,81.2,0.145
U00305,Équilibré,13,1142.01,0.57,32.5,0.245
U00306,Aventurier,33,2485.99,0.765,1.6,0.804
U00307,Équilibré,13,862.85,0.519,68.5,0.123
U00308,Prudent,2,1059.3,0.197,136.7,0.03
U00309,Équilibré,8,1494.78,0.35,44.9,0.279
U00310,Prudent,3,595.68,0.136,240.7,0.063
U00311,Équilibré,11,858.28,0.367,54.3,0.174
U00312,Prudent,1,805.64,0.107,133.9,0.081
U00313,Prudent,4,649.77,0.182,181.2,0.072
U00314,Aventurier,45,4223.26,0.857,4.0,0.676
U00315,Aventurier,39,970.34,0.722,10.8,0.657
U00316,Équilibré,1,1320.04,0.45,79.2,0.111
U00317,Équilibré,10,1902.47,0.303,23.0,0.226
U00318,Prudent,1,1295.12,0.188,209.3,0.049
U00319,Prudent,1,1229.54,0.142,179.5,0.079
U00320,Prudent,5,424.79,0.206,128.4,0.061
U00321,Équilibré,10,2362.47,0.511,74.0,0.135
U00322,Équilibré,9,1492.61,0.294,45.8,0.122
U00323,Équilibré,11,1264.42,0.438,77.4,0.105
U00324,Prudent,0,716.7,0.096,242.8,0.092
U00325,Aventurier,45,3904.59,0.642,5.9,0.519
U00326,Équilibré,9,1549.3,0.519,32.0,0.311
U00327,Équilibré,14,1905.99,0.537,40.3,0.309
U00328,Équilibré,13,1246.4,0.407,27.2,0.117
U00329,Équilibré,20,1967.41,0.32,40.7,0.309
U00330,Prudent,5,523.65,0.215,103.5,0.084
U00331,Équilibré,13,1275.15,0.452,69.0,0.279
U00332,Équilibré,10,2218.24,0.447,81.3,0.209
U00333,Prudent,4,547.59,0.086,197.6,0.097
U00334,Prudent,3,752.67,0.082,158.2,0.069
U00335,Prudent,0,725.44,0.162,276.3,0.097
U00336,Prudent,1,584.71,0.176,188.3,0.03
U00337,Aventurier,41,2443.96,0.992,11.2,0.504
U00338,Équilibré,13,1639.38,0.382,50.4,0.214
U00339,Équilibré,8,2551.67,0.283,69.1,0.183
U00340,Prudent,0,875.38,0.196,166.3,0.078
U00341,Équilibré,13,1430.83,0.479,24.2,0.183
U00342,Équilibré,21,2043.81,0.459,24.9,0.267
U00343,Prudent,1,579.46,0.238,281.2,0.09
U00344,Équilibré,5,1436.04,0.464,87.9,0.251
U00345,Équilibré,8,1897.61,0.455,33.6,0.237
U00346,Équilibré,11,1106.82,0.36,24.2,0.339
U00347,Équilibré,7,2416.46,0.339,21.9,0.329
U00348,Prudent,2,870.74,0.15,204.8,0.086
U00349,Équilibré,12,1358.02,0.281,47.9,0.119
U00350,Équilibré,13,2049.15,0.455,60.4,0.345
U00351,Équilibré,9,994.47,0.329,26.8,0.209
U00352,Aventurier,43,6599.73,0.91,7.5,0.527
U00353,Équilibré,8,2976.79,0.435,22.0,0.245
U00354,Prudent,1,618.46,0.112,271.7,0.024
U00355,Prudent,2,937.13,0.201,138.5,0.093
U00356,Équilibré,9,2322.15,0.484,62.3,0.131
U00357,Prudent,3,917.13,0.176,268.1,0.071
U00358,Équilibré,12,2850.81,0.297,53.8,0.27
U00359,Aventurier,33,2986.46,0.882,2.0,0.354
U00360,Équilibré,7,1995.03,0.466,20.2,0.298
U00361,Équilibré,7,2522.93,0.343,39.9,0.235
U00362,Équilibré,8,1372.03,0.439,32.9,0.203
U00363,Équilibré,7,2468.16,0.582,85.8,0.231
U00364,Équilibré,6,1380.56,0.414,30.7,0.298
U00365,Aventurier,42,2719.62,0.703,11.3,0.665
U00366,Équilibré,4,2367.98,0.303,61.3,0.121
U00367,Aventurier,34,2920.6,0.963,10.8,0.519
U00368,Aventurier,49,2655.41,0.836,6.2,0.764
U00369,Prudent,1,1089.29,0.157,243.3,0.054
U00370,Prudent,2,927.0,0.228,267.4,0.097
U00371,Prudent,3,752.94,0.061,147.5,0.067
U00372,Prudent,0,884.78,0.05,227.9,0.056
U00373,Prudent,2,814.72,0.123,167.9,0.057
U00374,Équilibré,14,1315.47,0.433,33.8,0.153
U00375,Prudent,1,1017.93,0.228,217.3,0.043
U00376,Prudent,3,796.71,0.201,270.5,0.068
U00377,Aventurier,45,5547.92,0.917,13.8,0.857
U00378,Prudent,1,805.73,0.054,287.8,0.047
U00379,Aventurier,38,4396.81,0.914,4.6,0.759
U00380,Prudent,2,490.26,0.225,180.6,0.05
U00381,Prudent,4,719.71,0.077,104.3,0.064
U00382,Équilibré,6,1619.88,0.594,54.7,0.212
U00383,Équilibré,8,829.02,0.37,65.1,0.239
U00384,Aventurier,46,5174.34,0.904,7.3,0.778
U00385,Équilibré,14,1564.78,0.268,68.0,0.287
U00386,Aventurier,37,1218.94,0.836,2.0,0.741
U00387,Prudent,4,902.64,0.193,152.3,0.038
U00388,Prudent,3,1063.57,0.167,113.9,0.044
U00389,Équilibré,4,1664.24,0.524,40.1,0.314
U00390,Aventurier,38,4731.47,0.879,8.2,0.536
U00391,Aventurier,27,3884.73,0.614,5.1,0.597
U00392,Équilibré,12,1066.09,0.523,34.2,0.29
U00393,Équilibré,11,1244.43,0.327,24.3,0.198
U00394,Équilibré,5,2271.45,0.253,30.9,0.333
U00395,Prudent,2,600.49,0.124,282.7,0.079
U00396,Aventurier,45,4280.34,0.866,8.1,0.757
U00397,Aventurier,44,5599.44,0.627,6.7,0.844
U00398,Équilibré,17,2652.46,0.303,46.2,0.146
U00399,Équilibré,11,388.42,0.443,61.8,0.164
U00400,Équilibré,9,1000.41,0.322,89.9,0.171
U00401,Prudent,3,628.59,0.127,144.9,0.03
U00402,Aventurier,51,3705.43,0.668,14.3,0.469
U00403,Équilibré,7,2106.55,0.27,21.8,0.233
U00404,Aventurier,43,5963.78,0.791,10.5,0.754
U00405,Prudent,2,1045.25,0.088,199.0,0.052
U00406,Aventurier,34,4509.99,0.695,6.9,0.565
U00407,Équilibré,10,1593.58,0.34,55.1,0.272
U00408,Prudent,1,811.69,0.157,170.9,0.076
U00409,Aventurier,36,5474.53,0.994,13.7,0.676
U00410,Prudent,2,892.92,0.157,294.9,0.077
U00411,Prudent,2,482.68,0.06,150.0,0.078
U00412,Aventurier,41,3233.87,0.764,11.5,0.875
U00413,Aventurier,48,2511.53,0.765,10.0,0.434
U00414,Équilibré,15,1419.45,0.397,60.9,0.235
U00415,Équilibré,7,1739.81,0.473,20.9,0.127
U00416,Équilibré,5,1220.76,0.468,89.7,0.164
U00417,Prudent,1,1001.73,0.222,120.2,0.032
U00418,Prudent,2,833.99,0.149,104.0,0.043
U00419,Équilibré,15,1544.58,0.487,31.8,0.284
U00420,Équilibré,13,2578.9,0.314,52.4,0.259
U00421,Équilibré,11,1829.68,0.451,20.6,0.142
U00422,Équilibré,10,2903.56,0.533,71.0,0.222
U00423,Prudent,1,1180.44,0.208,113.6,0.02
U00424,Équilibré,13,2406.67,0.561,32.9,0.246
U00425,Prudent,0,988.94,0.172,237.9,0.038
U00426,Équilibré,15,1655.63,0.287,21.1,0.104
U00427,Équilibré,9,755.83,0.333,26.4,0.127
U00428,Aventurier,42,1090.91,0.961,7.5,0.627
U00429,Équilibré,16,434.19,0.499,47.5,0.247
U00430,Prudent,3,806.59,0.096,214.1,0.095
U00431,Prudent,3,998.96,0.186,255.5,0.058
U00432,Équilibré,3,2329.35,0.475,65.2,0.149
U00433,Équilibré,7,2219.38,0.28,84.8,0.332
U00434,Prudent,0,890.58,0.151,217.4,0.064
U00435,Prudent,2,787.15,0.198,148.2,0.086
U00436,Équilibré,9,1746.57,0.554,35.0,0.147
U00437,Prudent,2,836.28,0.17,123.0,0.091
U00438,Aventurier,36,3248.54,0.669,7.2,0.447
U00439,Équilibré,8,1797.69,0.47,66.3,0.289
U00440,Prudent,6,686.87,0.105,162.7,0.049
U00441,Prudent,2,970.76,0.131,144.5,0.048
U00442,Aventurier,49,3551.21,0.755,14.6,0.528
U00443,Équilibré,6,1748.18,0.577,27.3,0.292
U00444,Équilibré,5,2085.83,0.466,50.4,0.267
U00445,Aventurier,61,4274.83,0.959,12.2,0.606
U00446,Aventurier,45,1796.02,0.605,9.0,0.797
U00447,Aventurier,39,4223.25,0.954,7.7,0.354
U00448,Équilibré,13,196.26,0.506,83.1,0.172
U00449,Équilibré,10,2376.62,0.494,71.3,0.302
U00450,Prudent,3,714.13,0.148,200.8,0.028
U00451,Équilibré,14,1220.11,0.461,22.9,0.331
U00452,Équilibré,14,1944.66,0.458,62.2,0.301
U00453,Équilibré,8,2696.52,0.35,36.5,0.301
U00454,Aventurier,45,4123.78,0.948,2.9,0.41
U00455,Prudent,3,897.76,0.17,297.5,0.081
U00456,Équilibré,10,1329.13,0.37,54.8,0.212
U00457,Prudent,4,982.28,0.107,169.5,0.092
U00458,Équilibré,10,1032.26,0.522,24.9,0.241
U00459,Prudent,0,491.75,0.127,198.7,0.056
U00460,Prudent,3,818.4,0.229,295.8,0.055
U00461,Prudent,1,418.14,0.249,137.0,0.05
U00462,Équilibré,11,1657.41,0.416,88.1,0.227
U00463,Équilibré,15,2030.09,0.406,48.5,0.265
U00464,Équilibré,7,1438.88,0.37,70.2,0.136
U00465,Aventurier,39,5372.66,0.693,10.6,0.623
U00466,Équilibré,5,1231.84,0.554,89.3,0.192
U00467,Prudent,0,862.39,0.181,157.0,0.051
U00468,Aventurier,46,2899.49,0.902,5.1,0.749
U00469,Prudent,3,457.68,0.247,281.2,0.062
U00470,Aventurier,22,3128.91,0.942,14.0,0.439
U00471,Prudent,3,665.11,0.088,106.7,0.092
U00472,Aventurier,41,3949.79,0.882,14.8,0.445
U00473,Prudent,0,911.95,0.132,258.7,0.036
U00474,Aventurier,40,3073.47,0.765,4.7,0.652
U00475,Équilibré,8,2870.48,0.345,21.6,0.164
U00476,Aventurier,42,5556.14,0.715,10.9,0.569
U00477,Prudent,0,622.58,0.084,154.3,0.066
U00478,Équilibré,18,1258.21,0.393,47.3,0.106
U00479,Aventurier,40,2140.15,0.913,7.1,0.784
U00480,Équilibré,11,987.9,0.589,32.7,0.169
U00481,Équilibré,13,2412.11,0.473,41.1,0.261
U00482,Équilibré,13,1634.12,0.45,89.2,0.341
U00483,Équilibré,10,1165.37,0.484,44.6,0.28
U00484,Équilibré,9,2350.44,0.298,24.8,0.295
U00485,Équilibré,9,1884.7,0.481,21.4,0.268
U00486,Aventurier,38,4521.63,0.923,8.3,0.893
U00487,Prudent,4,781.41,0.19,218.9,0.066
U00488,Prudent,4,848.24,0.223,112.0,0.028
U00489,Aventurier,41,4242.08,0.604,14.8,0.772
U00490,Aventurier,30,649.85,0.624,5.7,0.471
U00491,Équilibré,9,2636.03,0.594,58.2,0.288
